"trial_type","trial_index","time_elapsed","internal_node_id","rt","response","success","stimulus","start_time","start_time_unix","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","trialType","correct","participantID","criticalSpacing","criticalSpacing_deg","isLeft","isUp","isEccen4","eccentricity","eccentricity_deg","viewingDistanceMean","critical_spacing","critical_spacing_deg","crowding_session","correctRate","viewDistance_1","viewDistance_2","viewDistance_3"
"pavlovia","0","5","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","1","4537","0.0-1.0","4475.799999952316","{""Q0"":""""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","27362","0.0-2.0","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","51235","0.0-3.0","23871.200000047684","arrowright","","<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","59410","0.0-4.0","8173.800000071526","arrowdown","","<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>","11/24/2021, 9:24:45 AM","1637738685069","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","85221","0.0-5.0","25807.600000023842","arrowdown","","<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"virtual-chinrest","6","272674","0.0-6.0","187450.39999997616","","","","","","85.6","53.98","308","3.6","527.77","9.2726175201712","33.21607942201776","48.16944166322702","27.095310935565198","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","344122","0.0-7.0","71446.29999995232","arrowdown","","
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","344626","0.0-8.0","null","null","","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1600 height=900>
    <circle cx=737 cy=450 r=9.992356313938528 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=450 r=14.274794734197897 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=565.83 cy=NaN r=14.274794734197897 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=450 r=14.274794734197897 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=565.83 cy=NaN r=14.274794734197897 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""565.83,450 569.8454283847562,464.2747947341979 561.8145716152438,464.2747947341979"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","344780","0.0-9.0","null","null","","
    <div style="" display: block;  position: relative;"">
    <svg width=1600 height=900>
    
    <circle cx=737 cy=450 r=9.992356313938528 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=908.17 cy=450 r=14.274794734197897 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1019.4304999999999 cy=450 r=14.274794734197897 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=908.17 cy=561.2605 r=14.274794734197897 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=796.9095 cy=450 r=14.274794734197897 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=908.17 cy=338.7395 r=14.274794734197897 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""908.17,450 912.1854283847562,435.7252052658021 904.1545716152438,435.7252052658021"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
