"trial_type","trial_index","time_elapsed","internal_node_id","rt","response","success","stimulus","start_time","start_time_unix","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","trialType","correct","participantID","criticalSpacing","criticalSpacing_deg","isLeft","isUp","isEccen4","eccentricity","eccentricity_deg","viewingDistanceMean","critical_spacing","critical_spacing_deg","crowding_session","correctRate","viewDistance_1","viewDistance_2","viewDistance_3"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","1","35746","0.0-1.0","35573.40000000596","{""Q0"":""""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","116695","0.0-2.0","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","119392","0.0-3.0","2695.2999999821186"," ","","<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","122861","0.0-4.0","3467.9000000059605"," ","","<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>","24. 11. 2021 08:25:15","1637738715839","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","137953","0.0-5.0","15091.700000017881","arrowdown","","<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"virtual-chinrest","6","371764","0.0-6.0","233809.20000001788","","","","","","85.6","53.98","446","5.21","591.74","8.273891945478756","53.90449898777267","28.494838628375266","13.394058261514935","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","423016","0.0-7.0","51249.69999998808","arrowdown","","
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","423531","0.0-8.0","null","null","","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1536 height=722>
    <circle cx=705 cy=361 r=19.498376645286243 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=481.88 cy=NaN r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=481.88 cy=NaN r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""481.88,361 489.71542265490825,388.85482377898035 474.04457734509174,388.85482377898035"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","423687","0.0-9.0","null","null","","
    <div style="" display: block;  position: relative;"">
    <svg width=1536 height=722>
    
    <circle cx=705 cy=361 r=19.498376645286243 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=928.12 cy=361 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1073.1480000000001 cy=361 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=928.12 cy=506.028 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=783.092 cy=361 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=928.12 cy=215.97199999999998 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""928.12,361 935.9554226549083,388.85482377898035 920.2845773450917,388.85482377898035"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","425253","0.0-10.0","1564.7999999821186","arrowdown","","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1536 height=722>
    <circle cx=705 cy=361 r=19.498376645286243 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1073.1480000000001 cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=928.12 cy=506.028 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=783.092 cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=928.12 cy=215.97199999999998 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""928.12,361 935.9554226549083,388.85482377898035 920.2845773450917,388.85482377898035"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","vO1hu9eLcB09MVI6","145.02800000000002","2.6","false","false","false","223.12","4","614.5459999999999","","","","","","",""
"html-keyboard-response","11","425760","0.0-11.0","null","null","","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1536 height=722>
    <circle cx=705 cy=361 r=19.498376645286243 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1073.1480000000001 cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=928.12 cy=506.028 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=783.092 cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=928.12 cy=215.97199999999998 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""928.12,361 935.9554226549083,388.85482377898035 920.2845773450917,388.85482377898035"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","425915","0.0-12.0","null","null","","
    <div style="" display: block;  position: relative;"">
    <svg width=1536 height=722>
    
    <circle cx=705 cy=361 r=19.498376645286243 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=481.88 cy=361 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=626.908 cy=361 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=481.88 cy=506.028 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=336.852 cy=361 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=481.88 cy=215.97199999999998 r=27.854823778980347 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""481.88,361 489.71542265490825,333.14517622101965 474.04457734509174,333.14517622101965"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","427696","0.0-13.0","1780.2999999821186","arrowup","","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1536 height=722>
    <circle cx=705 cy=361 r=19.498376645286243 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=626.908 cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=481.88 cy=506.028 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=336.852 cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=481.88 cy=215.97199999999998 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""481.88,361 489.71542265490825,333.14517622101965 474.04457734509174,333.14517622101965"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","vO1hu9eLcB09MVI6","145.02800000000002","2.6","true","true","false","223.12","4","614.5459999999999","","","","","","",""
"html-keyboard-response","14","428202","0.0-14.0","null","null","","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1536 height=722>
    <circle cx=705 cy=361 r=19.498376645286243 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=626.908 cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=481.88 cy=506.028 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=336.852 cy=361 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=481.88 cy=215.97199999999998 r=27.854823778980347 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""481.88,361 489.71542265490825,333.14517622101965 474.04457734509174,333.14517622101965"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
