,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,success,stimulus,start_time,start_time_unix,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,win_width_deg,win_height_deg,trialType,correct,participantID,criticalSpacing,criticalSpacing_deg,isLeft,isUp,isEccen4,eccentricity,eccentricity_deg,viewingDistanceMean,critical_spacing,critical_spacing_deg,crowding_session,correctRate,viewDistance_1,viewDistance_2,viewDistance_3,age
0,pavlovia,0,7,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
2,fullscreen,2,12831,0.0-2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
3,html-keyboard-response,3,15267,0.0-3.0,2432.8000000715256,arrowright,,"<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
4,html-keyboard-response,4,20892,0.0-4.0,5622.600000023842,arrowright,,"<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>",1/12/2021 1:15:20,1638342920090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
5,html-keyboard-response,5,32497,0.0-5.0,11603.300000071526,arrowdown,,"<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
6,virtual-chinrest,6,153310,0.0-6.0,120809.5,,,,,,85.6,53.98,374.0,4.37,599.7,8.164443834231502,45.80838665726502,29.819867052300086,16.765488943020838,,,,,,,,,,,,,,,,,,,22
7,html-keyboard-response,7,191751,0.0-7.0,38436.39999997616,arrowdown,,"
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
8,html-keyboard-response,8,192268,0.0-8.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1366 height=768>
    <circle cx=620 cy=384 r=16.007229962739274 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=384 r=22.86747137534182 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=436.83000000000004 cy=NaN r=22.86747137534182 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=384 r=22.86747137534182 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=436.83000000000004 cy=NaN r=22.86747137534182 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""436.83000000000004,384 443.2625053605268,406.86747137534184 430.3974946394733,406.86747137534184"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
9,html-keyboard-response,9,192425,0.0-9.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1366 height=768>
    
    <circle cx=620 cy=384 r=16.007229962739274 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=803.17 cy=384 r=22.86747137534182 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=922.2304999999999 cy=384 r=22.86747137534182 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.17 cy=503.0605 r=22.86747137534182 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=684.1095 cy=384 r=22.86747137534182 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.17 cy=264.9395 r=22.86747137534182 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.17,384 809.6025053605267,361.13252862465816 796.7374946394732,361.13252862465816"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,22
10,html-keyboard-response,10,194235,0.0-10.0,1807.2999999523165,arrowdown,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1366 height=768>
    <circle cx=620 cy=384 r=16.007229962739274 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=922.2304999999999 cy=384 r=22.86747137534182 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.17 cy=503.0605 r=22.86747137534182 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=684.1095 cy=384 r=22.86747137534182 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.17 cy=264.9395 r=22.86747137534182 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.17,384 809.6025053605267,361.13252862465816 796.7374946394732,361.13252862465816"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,False,lLwnYe5CakH1TgfS,119.0605,2.6,False,True,False,183.17,4.0,601.49,,,,,,,,22
