,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,success,stimulus,start_time,start_time_unix,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,win_width_deg,win_height_deg,trialType,correct,participantID,criticalSpacing,criticalSpacing_deg,isLeft,isUp,isEccen4,eccentricity,eccentricity_deg,viewingDistanceMean,critical_spacing,critical_spacing_deg,crowding_session,correctRate,viewDistance_1,viewDistance_2,viewDistance_3,age
0,pavlovia,0,4,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
2,fullscreen,2,16784,0.0-2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
3,html-keyboard-response,3,25743,0.0-3.0,8957.799999952316, ,,"<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
4,html-keyboard-response,4,29052,0.0-4.0,3307.700000047684, ,,"<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>",1/12/2021 1:18:52,1638343132182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
5,html-keyboard-response,5,46891,0.0-5.0,17837.699999928474,arrowdown,,"<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
6,virtual-chinrest,6,180280,0.0-6.0,133382.80000007153,,,,,,85.6,53.98,250.0,2.92,565.44,8.657300562540623,28.877361735796487,47.30349027372196,26.5952273281248,,,,,,,,,,,,,,,,,,,20
7,html-keyboard-response,7,235832,0.0-7.0,55548.20000004768,arrowdown,,"
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
8,html-keyboard-response,8,236349,0.0-8.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1366 height=768>
    <circle cx=620 cy=384 r=9.979313324606505 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=384 r=14.256161892295008 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=449.05 cy=NaN r=14.256161892295008 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=384 r=14.256161892295008 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=449.05 cy=NaN r=14.256161892295008 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""449.05,384 453.06018705949316,398.256161892295 445.03981294050686,398.256161892295"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
9,html-keyboard-response,9,236510,0.0-9.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1366 height=768>
    
    <circle cx=620 cy=384 r=9.979313324606505 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=449.05 cy=384 r=14.256161892295008 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=560.1675 cy=384 r=14.256161892295008 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=449.05 cy=495.1175 r=14.256161892295008 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=337.9325 cy=384 r=14.256161892295008 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=449.05 cy=272.8825 r=14.256161892295008 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""449.05,384 453.06018705949316,369.743838107705 445.03981294050686,369.743838107705"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,20
10,html-keyboard-response,10,238108,0.0-10.0,1597.3000000715256,arrowup,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1366 height=768>
    <circle cx=620 cy=384 r=9.979313324606505 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=560.1675 cy=384 r=14.256161892295008 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=449.05 cy=495.1175 r=14.256161892295008 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=337.9325 cy=384 r=14.256161892295008 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=449.05 cy=272.8825 r=14.256161892295008 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""449.05,384 453.06018705949316,369.743838107705 445.03981294050686,369.743838107705"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,True,BFeIjBw3TevB0odx,111.1175,3.89,True,True,False,170.95,6.0,561.192,,,,,,,,20
