,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,success,stimulus,start_time,start_time_unix,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,win_width_deg,win_height_deg,trialType,correct,participantID,criticalSpacing,criticalSpacing_deg,isLeft,isUp,isEccen4,eccentricity,eccentricity_deg,viewingDistanceMean,critical_spacing,critical_spacing_deg,crowding_session,correctRate,viewDistance_1,viewDistance_2,viewDistance_3,age
0,pavlovia,0,4,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2,fullscreen,2,19770,0.0-2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
3,html-keyboard-response,3,52396,0.0-3.0,32623.60000002384,j,,"<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
4,html-keyboard-response,4,59941,0.0-4.0,7541.600000023842,m,,"<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>","12/1/2021, 9:18:33 AM",1638343113380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
5,html-keyboard-response,5,81942,0.0-5.0,21996.400000035763,arrowdown,,"<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
6,virtual-chinrest,6,325966,0.0-6.0,244022.0,,,,,,85.6,53.98,376.0,4.39,587.68,8.330851797963028,45.133440027337365,30.26580732983377,17.01620792775427,,,,,,,,,,,,,,,,,,,24
7,html-keyboard-response,7,402087,0.0-7.0,76104.5,arrowdown,,"
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
8,html-keyboard-response,8,402622,0.0-8.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1366 height=768>
    <circle cx=620 cy=384 r=16.095086592761234 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=384 r=22.992980846801764 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=435.82 cy=NaN r=22.992980846801764 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=384 r=22.992980846801764 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=435.82 cy=NaN r=22.992980846801764 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""435.82,384 442.2878105473011,406.99298084680174 429.3521894526989,406.99298084680174"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
9,html-keyboard-response,9,402795,0.0-9.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1366 height=768>
    
    <circle cx=620 cy=384 r=16.095086592761234 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=804.1800000000001 cy=384 r=22.992980846801764 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=923.897 cy=384 r=22.992980846801764 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=804.1800000000001 cy=503.717 r=22.992980846801764 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=684.4630000000001 cy=384 r=22.992980846801764 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=804.1800000000001 cy=264.283 r=22.992980846801764 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""804.1800000000001,384 810.6478105473012,406.99298084680174 797.7121894526989,406.99298084680174"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,24
10,html-keyboard-response,10,406122,0.0-10.0,3325.200000047684,arrowup,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1366 height=768>
    <circle cx=620 cy=384 r=16.095086592761234 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=923.897 cy=384 r=22.992980846801764 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=804.1800000000001 cy=503.717 r=22.992980846801764 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=684.4630000000001 cy=384 r=22.992980846801764 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=804.1800000000001 cy=264.283 r=22.992980846801764 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""804.1800000000001,384 810.6478105473012,406.99298084680174 797.7121894526989,406.99298084680174"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,False,29WmGHwoMXuxRb4r,119.717,2.6,False,False,False,184.18,4.0,602.036,,,,,,,,24
