"trial_type","trial_index","time_elapsed","internal_node_id","rt","response","success","stimulus","start_time","start_time_unix","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","trialType","correct","participantID","criticalSpacing","criticalSpacing_deg","isLeft","isUp","isEccen4","eccentricity","eccentricity_deg","viewingDistanceMean","critical_spacing","critical_spacing_deg","crowding_session","correctRate","viewDistance_1","viewDistance_2","viewDistance_3"
"pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","1","5569","0.0-1.0","5513.199999999255","{""Q0"":""""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","51051","0.0-2.0","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","55082","0.0-3.0","4029.599999997765"," ","","<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","57468","0.0-4.0","2385"," ","","<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>","11/30/2021, 11:54:25 PM","1638338065034","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","70441","0.0-5.0","12972.39999999851","arrowdown","","<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"virtual-chinrest","6","157057","0.0-6.0","86616","","","","","","85.6","53.98","250","2.92","540.12","9.061489448675117","27.58928335303117","46.3948259772166","28.996766235760372","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","181304","0.0-7.0","24244.900000002235","arrowdown","","
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","181807","0.0-8.0","null","null","","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1280 height=800>
    <circle cx=577 cy=400 r=7.987761101654949 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=400 r=11.4110872880785 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=485.59000000000003 cy=NaN r=11.4110872880785 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=400 r=11.4110872880785 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=485.59000000000003 cy=NaN r=11.4110872880785 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""485.59000000000003,400 488.7998817987001,411.4110872880785 482.3801182013,411.4110872880785"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","181963","0.0-9.0","null","null","","
    <div style="" display: block;  position: relative;"">
    <svg width=1280 height=800>
    
    <circle cx=577 cy=400 r=7.987761101654949 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=485.59000000000003 cy=400 r=11.4110872880785 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=545.0065000000001 cy=400 r=11.4110872880785 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=485.59000000000003 cy=459.4165 r=11.4110872880785 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=426.17350000000005 cy=400 r=11.4110872880785 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=485.59000000000003 cy=340.5835 r=11.4110872880785 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""485.59000000000003,400 488.7998817987001,411.4110872880785 482.3801182013,411.4110872880785"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
