,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,success,stimulus,start_time,start_time_unix,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,win_width_deg,win_height_deg,trialType,correct,participantID,criticalSpacing,criticalSpacing_deg,isLeft,isUp,isEccen4,eccentricity,eccentricity_deg,viewingDistanceMean,critical_spacing,critical_spacing_deg,crowding_session,correctRate,viewDistance_1,viewDistance_2,viewDistance_3,age
0,pavlovia,0,3,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
2,fullscreen,2,13565,0.0-2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
3,html-keyboard-response,3,24522,0.0-3.0,10955.899999976158,arrowleft,,"<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
4,html-keyboard-response,4,30313,0.0-4.0,5789.899999976158,arrowleft,,"<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>",30/11/2021 23:56:43,1638338203323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
5,html-keyboard-response,5,47081,0.0-5.0,16767.0,arrowdown,,"<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
6,virtual-chinrest,6,212852,0.0-6.0,165769.29999995232,,,,,,85.6,53.98,377.0,4.4,518.99,9.428785554894889,39.98394043486152,36.014459413922125,22.509037133701327,,,,,,,,,,,,,,,,,,,26
7,html-keyboard-response,7,265212,0.0-7.0,52358.19999992848,arrowdown,,"
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
8,html-keyboard-response,8,265729,0.0-8.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=13.848948830073207 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=450 r=19.784212614390295 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=498.52 cy=NaN r=19.784212614390295 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=450 r=19.784212614390295 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=498.52 cy=NaN r=19.784212614390295 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""498.52,450 504.0852000873649,469.7842126143903 492.95479991263505,469.7842126143903"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
9,html-keyboard-response,9,265883,0.0-9.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=13.848948830073207 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=815.48 cy=450 r=19.784212614390295 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=918.492 cy=450 r=19.784212614390295 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=815.48 cy=553.012 r=19.784212614390295 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=712.4680000000001 cy=450 r=19.784212614390295 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=815.48 cy=346.988 r=19.784212614390295 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""815.48,450 821.045200087365,430.2157873856097 809.9147999126351,430.2157873856097"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,26
10,html-keyboard-response,10,266804,0.0-10.0,919.7000000476836,arrowdown,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=13.848948830073207 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=918.492 cy=450 r=19.784212614390295 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=815.48 cy=553.012 r=19.784212614390295 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=712.4680000000001 cy=450 r=19.784212614390295 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=815.48 cy=346.988 r=19.784212614390295 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""815.48,450 821.045200087365,430.2157873856097 809.9147999126351,430.2157873856097"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,False,8DfU9mw4w1X7oILw,103.012,2.6,False,True,True,158.48,4.0,516.842,,,,,,,,26
