,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,success,stimulus,start_time,start_time_unix,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,win_width_deg,win_height_deg,trialType,correct,participantID,criticalSpacing,criticalSpacing_deg,isLeft,isUp,isEccen4,eccentricity,eccentricity_deg,viewingDistanceMean,critical_spacing,critical_spacing_deg,crowding_session,correctRate,viewDistance_1,viewDistance_2,viewDistance_3,age
0,pavlovia,0,4,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
2,fullscreen,2,8464,0.0-2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
3,html-keyboard-response,3,23228,0.0-3.0,14763.80000001192,arrowright,,"<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
4,html-keyboard-response,4,25667,0.0-4.0,2437.899999976158,arrowright,,"<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>",30/11/2021 23:54:17,1638338057987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
5,html-keyboard-response,5,42588,0.0-5.0,16919.600000023842,arrowdown,,"<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
6,virtual-chinrest,6,228965,0.0-6.0,186375.80000001192,,,,,,85.6,53.98,412.0,4.81,572.39,8.55257531859148,48.17262457828341,39.85666167887292,22.419372194366016,,,,,,,,,,,,,,,,,,,21
7,html-keyboard-response,7,288132,0.0-7.0,59163.80000001192,arrowdown,,"
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
8,html-keyboard-response,8,288635,0.0-8.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=16.993788604567115 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=540 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=702.54 cy=NaN r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=540 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=702.54 cy=NaN r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""702.54,540 709.3689539507452,564.2768408636673 695.7110460492547,564.2768408636673"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
9,html-keyboard-response,9,288788,0.0-9.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=16.993788604567115 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1091.46 cy=540 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1217.8590000000002 cy=540 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1091.46 cy=666.399 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=965.061 cy=540 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1091.46 cy=413.601 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1091.46,540 1098.2889539507453,515.7231591363327 1084.6310460492548,515.7231591363327"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,21
10,html-keyboard-response,10,289355,0.0-10.0,565.5,arrowup,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=16.993788604567115 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1217.8590000000002 cy=540 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1091.46 cy=666.399 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=965.061 cy=540 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1091.46 cy=413.601 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1091.46,540 1098.2889539507453,515.7231591363327 1084.6310460492548,515.7231591363327"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,True,wxUg6WXLxZOaKJqH,126.39900000000002,2.6,False,True,True,194.46,4.0,580.1479999999999,,,,,,,,21
11,html-keyboard-response,11,289858,0.0-11.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=16.993788604567115 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1217.8590000000002 cy=540 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1091.46 cy=666.399 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=965.061 cy=540 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1091.46 cy=413.601 r=24.276840863667307 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1091.46,540 1098.2889539507453,515.7231591363327 1084.6310460492548,515.7231591363327"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
12,html-keyboard-response,12,290010,0.0-12.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=16.993788604567115 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1091.46 cy=540 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1217.8590000000002 cy=540 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1091.46 cy=666.399 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=965.061 cy=540 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1091.46 cy=413.601 r=24.276840863667307 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1091.46,540 1098.2889539507453,564.2768408636673 1084.6310460492548,564.2768408636673"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,21
