,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,success,stimulus,start_time,start_time_unix,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,win_width_deg,win_height_deg,trialType,correct,participantID,criticalSpacing,criticalSpacing_deg,isLeft,isUp,isEccen4,eccentricity,eccentricity_deg,viewingDistanceMean,critical_spacing,critical_spacing_deg,crowding_session,correctRate,viewDistance_1,viewDistance_2,viewDistance_3,age
0,pavlovia,0,17,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
2,fullscreen,2,26105,0.0-2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
3,html-keyboard-response,3,51059,0.0-3.0,24952.39999999851, ,,"<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
4,html-keyboard-response,4,54424,0.0-4.0,3368.29999999702, ,,"<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>","12/1/2021, 9:20:14 AM",1638343214494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
5,html-keyboard-response,5,74052,0.0-5.0,19626.90000000596,arrowdown,,"<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
6,virtual-chinrest,6,296290,0.0-6.0,222231.1000000015,,,,,,85.6,53.98,343.0,4.01,542.8,9.016934500882025,38.039535494734736,35.91000737085961,20.189520981566748,,,,,,,,,,,,,,,,,,,22
7,html-keyboard-response,7,411652,0.0-7.0,115359.5,arrowdown,,"
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
8,html-keyboard-response,8,412168,0.0-8.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1366 height=768>
    <circle cx=620 cy=384 r=11.356115776181754 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=384 r=16.223022537402507 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=425.47 cy=NaN r=16.223022537402507 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=384 r=16.223022537402507 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=425.47 cy=NaN r=16.223022537402507 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""425.47,384 430.03345512465864,400.2230225374025 420.9065448753414,400.2230225374025"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
9,html-keyboard-response,9,412331,0.0-9.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1366 height=768>
    
    <circle cx=620 cy=384 r=11.356115776181754 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=814.53 cy=384 r=16.223022537402507 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.9745 cy=384 r=16.223022537402507 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=814.53 cy=510.4445 r=16.223022537402507 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=688.0854999999999 cy=384 r=16.223022537402507 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=814.53 cy=257.5555 r=16.223022537402507 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""814.53,384 819.0934551246586,400.2230225374025 809.9665448753414,400.2230225374025"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,22
10,html-keyboard-response,10,413033,0.0-10.0,700.5,arrowdown,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1366 height=768>
    <circle cx=620 cy=384 r=11.356115776181754 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=940.9745 cy=384 r=16.223022537402507 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=814.53 cy=510.4445 r=16.223022537402507 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=688.0854999999999 cy=384 r=16.223022537402507 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=814.53 cy=257.5555 r=16.223022537402507 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""814.53,384 819.0934551246586,400.2230225374025 809.9665448753414,400.2230225374025"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,True,t6CGd8n4800pN4X3,126.4445,3.89,False,False,False,194.53,6.0,465.0280000000001,,,,,,,,22
