"trial_type","trial_index","time_elapsed","internal_node_id","rt","response","success","stimulus","start_time","start_time_unix","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","trialType","correct","participantID","criticalSpacing","criticalSpacing_deg","isLeft","isUp","isEccen4","eccentricity","eccentricity_deg","viewingDistanceMean","critical_spacing","critical_spacing_deg","crowding_session","correctRate","viewDistance_1","viewDistance_2","viewDistance_3"
"pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","1","7834","0.0-1.0","7818.300000000745","{""Q0"":""""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","50875","0.0-2.0","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","57319","0.0-3.0","6442.10000000149"," ","","<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","59542","0.0-4.0","2222.300000000745"," ","","<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>","01/12/2021, 09:18:44","1638343124933","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","74529","0.0-5.0","14986.10000000149","arrowdown","","<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"virtual-chinrest","6","166560","0.0-6.0","92027.79999999702","","","","","","85.6","53.98","434","5.07","421.43","11.598035760583373","37.420129490803546","44.89562229903241","28.059763936895255","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","200655","0.0-7.0","34091.800000000745","arrowdown","","
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","201158","0.0-8.0","null","null","","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1680 height=1050>
    <circle cx=777 cy=525 r=13.091344417246756 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=525 r=18.701920596066795 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=552.74 cy=NaN r=18.701920596066795 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=525 r=18.701920596066795 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=552.74 cy=NaN r=18.701920596066795 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""552.74,525 558.0007567540706,543.7019205960668 547.4792432459294,543.7019205960668"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","201316","0.0-9.0","null","null","","
    <div style="" display: block;  position: relative;"">
    <svg width=1680 height=1050>
    
    <circle cx=777 cy=525 r=13.091344417246756 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=552.74 cy=525 r=18.701920596066795 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=698.509 cy=525 r=18.701920596066795 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=552.74 cy=670.769 r=18.701920596066795 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=406.971 cy=525 r=18.701920596066795 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=552.74 cy=379.231 r=18.701920596066795 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""552.74,525 558.0007567540706,506.29807940393323 547.4792432459294,506.29807940393323"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
