,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,success,stimulus,start_time,start_time_unix,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,win_width_deg,win_height_deg,trialType,correct,participantID,criticalSpacing,criticalSpacing_deg,isLeft,isUp,isEccen4,eccentricity,eccentricity_deg,viewingDistanceMean,critical_spacing,critical_spacing_deg,crowding_session,correctRate,viewDistance_1,viewDistance_2,viewDistance_3,age
0,pavlovia,0,3,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
2,fullscreen,2,11792,0.0-2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
3,html-keyboard-response,3,31632,0.0-3.0,19836.0, ,,"<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
4,html-keyboard-response,4,36471,0.0-4.0,4837.0, ,,"<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>",1/12/2021 01:19:36,1638343176102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
5,html-keyboard-response,5,45323,0.0-5.0,8850.0,arrowdown,,"<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
6,virtual-chinrest,6,130457,0.0-6.0,85130.0,,,,,,85.6,53.98,408.0,4.77,419.64,11.647168580994222,35.029972921124525,41.10765381527373,27.40510254351582,,,,,,,,,,,,,,,,,,,21
7,html-keyboard-response,7,170513,0.0-7.0,40047.0,arrowdown,,"
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
8,html-keyboard-response,8,171019,0.0-8.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=960>
    <circle cx=657 cy=480 r=12.981804645679407 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=480 r=18.54543520811344 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=434.62 cy=NaN r=18.54543520811344 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=480 r=18.54543520811344 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=434.62 cy=NaN r=18.54543520811344 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""434.62,480 439.8367381968663,498.5454352081134 429.4032618031337,498.5454352081134"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
9,html-keyboard-response,9,171175,0.0-9.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=960>
    
    <circle cx=657 cy=480 r=12.981804645679407 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=434.62 cy=480 r=18.54543520811344 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=579.167 cy=480 r=18.54543520811344 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=434.62 cy=624.547 r=18.54543520811344 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=290.073 cy=480 r=18.54543520811344 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=434.62 cy=335.453 r=18.54543520811344 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""434.62,480 439.8367381968663,498.5454352081134 429.4032618031337,498.5454352081134"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,21
10,html-keyboard-response,10,171698,0.0-10.0,519.0,arrowup,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=960>
    <circle cx=657 cy=480 r=12.981804645679407 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=579.167 cy=480 r=18.54543520811344 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=434.62 cy=624.547 r=18.54543520811344 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=290.073 cy=480 r=18.54543520811344 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=434.62 cy=335.453 r=18.54543520811344 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""434.62,480 439.8367381968663,498.5454352081134 429.4032618031337,498.5454352081134"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,False,gTYJJZK9vObwEy4d,144.547,3.89,True,False,False,222.38,6.0,446.9,,,,,,,,21
